"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"LOC";4740;"haar";1;0;6
"2";2;"LOC";4740;"haar";1;-29330,0821768368;6
"3";3;"LOC";4740;"haar";1;46181,8509860746;6
"4";4;"LOC";4740;"haar";1;4,94974746830849;6
"5";5;"LOC";4740;"haar";1;70,0035713374673;6
"6";6;"LOC";4740;"haar";1;84,1457069611934;6
"7";7;"LOC";4740;"haar";1;917,117495198952;6
"8";8;"LOC";4740;"haar";1;53,0330085889873;6
"9";9;"LOC";4740;"haar";1;379,71634149718;6
"10";10;"LOC";4740;"haar";1;170,412734265956;6
"11";11;"LOC";4740;"haar";1;65,7609306503509;6
"12";12;"LOC";4740;"haar";1;1551,39227792328;6
"13";13;"LOC";4740;"haar";1;3015,10331497944;6
"14";14;"LOC";4740;"haar";1;834,386001800129;6
"15";15;"LOC";4740;"haar";1;140,007142674935;6
"16";16;"LOC";4740;"haar";1;1417,74909627902;6
"17";17;"LOC";4740;"haar";1;554,37171645026;6
"18";18;"LOC";4740;"haar";1;6,36396103068546;6
"19";19;"LOC";4740;"haar";1;1251,57900270019;6
"20";20;"LOC";4740;"haar";1;887,419010389116;6
"21";21;"LOC";4740;"haar";1;2715,99714653753;6
"22";22;"LOC";4740;"haar";1;2633,9727599199;6
"23";23;"LOC";4740;"haar";1;366,988419435831;6
"24";24;"LOC";4740;"haar";1;870,448447640665;6
"25";25;"LOC";4740;"haar";1;1929,69440585808;6
"26";26;"LOC";4740;"haar";1;13870,6066197553;6
"27";27;"LOC";4740;"haar";1;-13679,6877888349;6
"28";28;"LOC";4740;"haar";1;-4132,33202925418;6
"29";29;"LOC";4740;"haar";1;271,529003975651;6
"30";30;"LOC";4740;"haar";1;838,628642487252;6
"31";31;"LOC";4740;"haar";1;1019,64797847101;6
"32";32;"LOC";4740;"haar";1;323,854905783432;6
"33";1;"LOC";4740;"haar";2;-20739,5;5
"34";2;"LOC";4740;"haar";2;32469;5
"35";3;"LOC";4740;"haar";2;755;5
"36";4;"LOC";4740;"haar";2;905;5
"37";5;"LOC";4740;"haar";2;946,000000000015;5
"38";6;"LOC";4740;"haar";2;1842,5;5
"39";7;"LOC";4740;"haar";2;4502;5
"40";8;"LOC";4740;"haar";2;2118,5;5
"41";9;"LOC";4740;"haar";2;1232,49999999999;5
"42";10;"LOC";4740;"haar";2;2376,50000000003;5
"43";11;"LOC";4740;"haar";2;4225;5
"44";12;"LOC";4740;"haar";2;1650;5
"45";13;"LOC";4740;"haar";2;11004,5;5
"46";14;"LOC";4740;"haar";2;-11740;5
"47";15;"LOC";4740;"haar";2;1131,00000000003;5
"48";16;"LOC";4740;"haar";2;1412;5
"49";1;"LOC";4740;"haar";3;40047,3461058907;4
"50";2;"LOC";4740;"haar";3;2964,191626734;4
"51";3;"LOC";4740;"haar";3;2345,11963980521;4
"52";4;"LOC";4740;"haar";3;7198,70058586966;4
"53";5;"LOC";4740;"haar";3;4007,88123576541;4
"54";6;"LOC";4740;"haar";3;8657,10832206687;4
"55";7;"LOC";4740;"haar";3;1424,4666107003;4
"56";8;"LOC";4740;"haar";3;13722,8213024873;4
"57";1;"LOC";4740;"haar";4;65521,7499999999;3
"58";2;"LOC";4740;"haar";4;66683;3
"59";3;"LOC";4740;"haar";4;103973;3
"60";4;"LOC";4740;"haar";4;-2156,24999999988;3
