"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commit.LOC.Removed";344;"haar";1;0;8
"2";2;"Commit.LOC.Removed";344;"haar";1;0;8
"3";3;"Commit.LOC.Removed";344;"haar";1;0;8
"4";4;"Commit.LOC.Removed";344;"haar";1;0;8
"5";5;"Commit.LOC.Removed";344;"haar";1;0;8
"6";6;"Commit.LOC.Removed";344;"haar";1;0;8
"7";7;"Commit.LOC.Removed";344;"haar";1;0;8
"8";8;"Commit.LOC.Removed";344;"haar";1;0;8
"9";9;"Commit.LOC.Removed";344;"haar";1;0;8
"10";10;"Commit.LOC.Removed";344;"haar";1;0;8
"11";11;"Commit.LOC.Removed";344;"haar";1;0;8
"12";12;"Commit.LOC.Removed";344;"haar";1;0;8
"13";13;"Commit.LOC.Removed";344;"haar";1;0;8
"14";14;"Commit.LOC.Removed";344;"haar";1;0;8
"15";15;"Commit.LOC.Removed";344;"haar";1;0;8
"16";16;"Commit.LOC.Removed";344;"haar";1;0;8
"17";17;"Commit.LOC.Removed";344;"haar";1;0;8
"18";18;"Commit.LOC.Removed";344;"haar";1;0;8
"19";19;"Commit.LOC.Removed";344;"haar";1;0;8
"20";20;"Commit.LOC.Removed";344;"haar";1;0;8
"21";21;"Commit.LOC.Removed";344;"haar";1;0;8
"22";22;"Commit.LOC.Removed";344;"haar";1;0;8
"23";23;"Commit.LOC.Removed";344;"haar";1;0;8
"24";24;"Commit.LOC.Removed";344;"haar";1;0;8
"25";25;"Commit.LOC.Removed";344;"haar";1;0;8
"26";26;"Commit.LOC.Removed";344;"haar";1;0;8
"27";27;"Commit.LOC.Removed";344;"haar";1;0;8
"28";28;"Commit.LOC.Removed";344;"haar";1;0;8
"29";29;"Commit.LOC.Removed";344;"haar";1;0;8
"30";30;"Commit.LOC.Removed";344;"haar";1;0;8
"31";31;"Commit.LOC.Removed";344;"haar";1;0;8
"32";32;"Commit.LOC.Removed";344;"haar";1;0;8
"33";33;"Commit.LOC.Removed";344;"haar";1;0;8
"34";34;"Commit.LOC.Removed";344;"haar";1;0;8
"35";35;"Commit.LOC.Removed";344;"haar";1;0;8
"36";36;"Commit.LOC.Removed";344;"haar";1;0;8
"37";37;"Commit.LOC.Removed";344;"haar";1;0;8
"38";38;"Commit.LOC.Removed";344;"haar";1;0;8
"39";39;"Commit.LOC.Removed";344;"haar";1;0;8
"40";40;"Commit.LOC.Removed";344;"haar";1;0;8
"41";41;"Commit.LOC.Removed";344;"haar";1;0;8
"42";42;"Commit.LOC.Removed";344;"haar";1;0;8
"43";43;"Commit.LOC.Removed";344;"haar";1;0;8
"44";44;"Commit.LOC.Removed";344;"haar";1;0;8
"45";45;"Commit.LOC.Removed";344;"haar";1;0;8
"46";46;"Commit.LOC.Removed";344;"haar";1;0;8
"47";47;"Commit.LOC.Removed";344;"haar";1;0;8
"48";48;"Commit.LOC.Removed";344;"haar";1;0;8
"49";49;"Commit.LOC.Removed";344;"haar";1;0;8
"50";50;"Commit.LOC.Removed";344;"haar";1;0;8
"51";51;"Commit.LOC.Removed";344;"haar";1;0;8
"52";52;"Commit.LOC.Removed";344;"haar";1;0;8
"53";53;"Commit.LOC.Removed";344;"haar";1;0;8
"54";54;"Commit.LOC.Removed";344;"haar";1;0;8
"55";55;"Commit.LOC.Removed";344;"haar";1;0;8
"56";56;"Commit.LOC.Removed";344;"haar";1;0;8
"57";57;"Commit.LOC.Removed";344;"haar";1;0;8
"58";58;"Commit.LOC.Removed";344;"haar";1;0;8
"59";59;"Commit.LOC.Removed";344;"haar";1;0;8
"60";60;"Commit.LOC.Removed";344;"haar";1;0;8
"61";61;"Commit.LOC.Removed";344;"haar";1;0;8
"62";62;"Commit.LOC.Removed";344;"haar";1;0;8
"63";63;"Commit.LOC.Removed";344;"haar";1;0;8
"64";64;"Commit.LOC.Removed";344;"haar";1;0;8
"65";65;"Commit.LOC.Removed";344;"haar";1;0;8
"66";66;"Commit.LOC.Removed";344;"haar";1;0;8
"67";67;"Commit.LOC.Removed";344;"haar";1;0;8
"68";68;"Commit.LOC.Removed";344;"haar";1;0;8
"69";69;"Commit.LOC.Removed";344;"haar";1;0;8
"70";70;"Commit.LOC.Removed";344;"haar";1;0;8
"71";71;"Commit.LOC.Removed";344;"haar";1;0;8
"72";72;"Commit.LOC.Removed";344;"haar";1;0;8
"73";73;"Commit.LOC.Removed";344;"haar";1;0;8
"74";74;"Commit.LOC.Removed";344;"haar";1;0;8
"75";75;"Commit.LOC.Removed";344;"haar";1;0;8
"76";76;"Commit.LOC.Removed";344;"haar";1;0;8
"77";77;"Commit.LOC.Removed";344;"haar";1;0;8
"78";78;"Commit.LOC.Removed";344;"haar";1;0;8
"79";79;"Commit.LOC.Removed";344;"haar";1;0;8
"80";80;"Commit.LOC.Removed";344;"haar";1;0;8
"81";81;"Commit.LOC.Removed";344;"haar";1;0;8
"82";82;"Commit.LOC.Removed";344;"haar";1;0;8
"83";83;"Commit.LOC.Removed";344;"haar";1;0;8
"84";84;"Commit.LOC.Removed";344;"haar";1;0;8
"85";85;"Commit.LOC.Removed";344;"haar";1;0;8
"86";86;"Commit.LOC.Removed";344;"haar";1;0;8
"87";87;"Commit.LOC.Removed";344;"haar";1;0;8
"88";88;"Commit.LOC.Removed";344;"haar";1;0;8
"89";89;"Commit.LOC.Removed";344;"haar";1;0;8
"90";90;"Commit.LOC.Removed";344;"haar";1;0;8
"91";91;"Commit.LOC.Removed";344;"haar";1;0;8
"92";92;"Commit.LOC.Removed";344;"haar";1;0;8
"93";93;"Commit.LOC.Removed";344;"haar";1;0;8
"94";94;"Commit.LOC.Removed";344;"haar";1;0;8
"95";95;"Commit.LOC.Removed";344;"haar";1;0;8
"96";96;"Commit.LOC.Removed";344;"haar";1;0;8
"97";97;"Commit.LOC.Removed";344;"haar";1;0;8
"98";98;"Commit.LOC.Removed";344;"haar";1;0;8
"99";99;"Commit.LOC.Removed";344;"haar";1;0;8
"100";100;"Commit.LOC.Removed";344;"haar";1;0;8
"101";101;"Commit.LOC.Removed";344;"haar";1;0;8
"102";102;"Commit.LOC.Removed";344;"haar";1;0;8
"103";103;"Commit.LOC.Removed";344;"haar";1;0;8
"104";104;"Commit.LOC.Removed";344;"haar";1;0;8
"105";105;"Commit.LOC.Removed";344;"haar";1;0;8
"106";106;"Commit.LOC.Removed";344;"haar";1;0;8
"107";107;"Commit.LOC.Removed";344;"haar";1;0;8
"108";108;"Commit.LOC.Removed";344;"haar";1;0;8
"109";109;"Commit.LOC.Removed";344;"haar";1;0;8
"110";110;"Commit.LOC.Removed";344;"haar";1;0;8
"111";111;"Commit.LOC.Removed";344;"haar";1;0;8
"112";112;"Commit.LOC.Removed";344;"haar";1;0;8
"113";113;"Commit.LOC.Removed";344;"haar";1;0;8
"114";114;"Commit.LOC.Removed";344;"haar";1;0;8
"115";115;"Commit.LOC.Removed";344;"haar";1;0;8
"116";116;"Commit.LOC.Removed";344;"haar";1;0;8
"117";117;"Commit.LOC.Removed";344;"haar";1;0;8
"118";118;"Commit.LOC.Removed";344;"haar";1;0;8
"119";119;"Commit.LOC.Removed";344;"haar";1;0;8
"120";120;"Commit.LOC.Removed";344;"haar";1;0;8
"121";121;"Commit.LOC.Removed";344;"haar";1;0;8
"122";122;"Commit.LOC.Removed";344;"haar";1;0;8
"123";123;"Commit.LOC.Removed";344;"haar";1;0;8
"124";124;"Commit.LOC.Removed";344;"haar";1;0;8
"125";125;"Commit.LOC.Removed";344;"haar";1;0;8
"126";126;"Commit.LOC.Removed";344;"haar";1;0;8
"127";127;"Commit.LOC.Removed";344;"haar";1;0;8
"128";128;"Commit.LOC.Removed";344;"haar";1;0;8
"129";129;"Commit.LOC.Removed";344;"haar";1;0;8
"130";130;"Commit.LOC.Removed";344;"haar";1;0;8
"131";131;"Commit.LOC.Removed";344;"haar";1;0;8
"132";132;"Commit.LOC.Removed";344;"haar";1;0;8
"133";133;"Commit.LOC.Removed";344;"haar";1;0;8
"134";134;"Commit.LOC.Removed";344;"haar";1;0;8
"135";135;"Commit.LOC.Removed";344;"haar";1;0;8
"136";136;"Commit.LOC.Removed";344;"haar";1;0;8
"137";137;"Commit.LOC.Removed";344;"haar";1;0;8
"138";138;"Commit.LOC.Removed";344;"haar";1;0;8
"139";139;"Commit.LOC.Removed";344;"haar";1;0;8
"140";140;"Commit.LOC.Removed";344;"haar";1;0;8
"141";141;"Commit.LOC.Removed";344;"haar";1;0;8
"142";142;"Commit.LOC.Removed";344;"haar";1;0;8
"143";143;"Commit.LOC.Removed";344;"haar";1;0;8
"144";144;"Commit.LOC.Removed";344;"haar";1;0;8
"145";145;"Commit.LOC.Removed";344;"haar";1;0;8
"146";146;"Commit.LOC.Removed";344;"haar";1;0;8
"147";1;"Commit.LOC.Removed";344;"haar";2;0;7
"148";2;"Commit.LOC.Removed";344;"haar";2;0;7
"149";3;"Commit.LOC.Removed";344;"haar";2;0;7
"150";4;"Commit.LOC.Removed";344;"haar";2;0;7
"151";5;"Commit.LOC.Removed";344;"haar";2;0;7
"152";6;"Commit.LOC.Removed";344;"haar";2;0;7
"153";7;"Commit.LOC.Removed";344;"haar";2;0;7
"154";8;"Commit.LOC.Removed";344;"haar";2;0;7
"155";9;"Commit.LOC.Removed";344;"haar";2;0;7
"156";10;"Commit.LOC.Removed";344;"haar";2;0;7
"157";11;"Commit.LOC.Removed";344;"haar";2;0;7
"158";12;"Commit.LOC.Removed";344;"haar";2;0;7
"159";13;"Commit.LOC.Removed";344;"haar";2;0;7
"160";14;"Commit.LOC.Removed";344;"haar";2;0;7
"161";15;"Commit.LOC.Removed";344;"haar";2;0;7
"162";16;"Commit.LOC.Removed";344;"haar";2;0;7
"163";17;"Commit.LOC.Removed";344;"haar";2;0;7
"164";18;"Commit.LOC.Removed";344;"haar";2;0;7
"165";19;"Commit.LOC.Removed";344;"haar";2;0;7
"166";20;"Commit.LOC.Removed";344;"haar";2;0;7
"167";21;"Commit.LOC.Removed";344;"haar";2;0;7
"168";22;"Commit.LOC.Removed";344;"haar";2;0;7
"169";23;"Commit.LOC.Removed";344;"haar";2;0;7
"170";24;"Commit.LOC.Removed";344;"haar";2;0;7
"171";25;"Commit.LOC.Removed";344;"haar";2;0;7
"172";26;"Commit.LOC.Removed";344;"haar";2;0;7
"173";27;"Commit.LOC.Removed";344;"haar";2;0;7
"174";28;"Commit.LOC.Removed";344;"haar";2;0;7
"175";29;"Commit.LOC.Removed";344;"haar";2;0;7
"176";30;"Commit.LOC.Removed";344;"haar";2;0;7
"177";31;"Commit.LOC.Removed";344;"haar";2;0;7
"178";32;"Commit.LOC.Removed";344;"haar";2;0;7
"179";33;"Commit.LOC.Removed";344;"haar";2;0;7
"180";34;"Commit.LOC.Removed";344;"haar";2;0;7
"181";35;"Commit.LOC.Removed";344;"haar";2;0;7
"182";36;"Commit.LOC.Removed";344;"haar";2;0;7
"183";37;"Commit.LOC.Removed";344;"haar";2;0;7
"184";38;"Commit.LOC.Removed";344;"haar";2;0;7
"185";39;"Commit.LOC.Removed";344;"haar";2;0;7
"186";40;"Commit.LOC.Removed";344;"haar";2;0;7
"187";41;"Commit.LOC.Removed";344;"haar";2;0;7
"188";42;"Commit.LOC.Removed";344;"haar";2;0;7
"189";43;"Commit.LOC.Removed";344;"haar";2;0;7
