"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Cumulative.Developers";378;"haar";1;18,3847763108502;7
"2";2;"Cumulative.Developers";378;"haar";1;18,3847763108502;7
"3";3;"Cumulative.Developers";378;"haar";1;18,3847763108502;7
"4";4;"Cumulative.Developers";378;"haar";1;18,3847763108502;7
"5";5;"Cumulative.Developers";378;"haar";1;19,7989898732233;7
"6";6;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"7";7;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"8";8;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"9";9;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"10";10;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"11";11;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"12";12;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"13";13;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"14";14;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"15";15;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"16";16;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"17";17;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"18";18;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"19";19;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"20";20;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"21";21;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"22";22;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"23";23;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"24";24;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"25";25;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"26";26;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"27";27;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"28";28;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"29";29;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"30";30;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"31";31;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"32";32;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"33";33;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"34";34;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"35";35;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"36";36;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"37";37;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"38";38;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"39";39;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"40";40;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"41";41;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"42";42;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"43";43;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"44";44;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"45";45;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"46";46;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"47";47;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"48";48;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"49";49;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"50";50;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"51";51;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"52";52;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"53";53;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"54";54;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"55";55;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"56";56;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"57";57;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"58";58;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"59";59;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"60";60;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"61";61;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"62";62;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"63";63;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"64";64;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"65";65;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"66";66;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"67";67;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"68";68;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"69";69;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"70";70;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"71";71;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"72";72;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"73";73;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"74";74;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"75";75;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"76";76;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"77";77;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"78";78;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"79";79;"Cumulative.Developers";378;"haar";1;21,2132034355964;7
"80";1;"Cumulative.Developers";378;"haar";2;26;6
"81";2;"Cumulative.Developers";378;"haar";2;27;6
"82";3;"Cumulative.Developers";378;"haar";2;30;6
"83";4;"Cumulative.Developers";378;"haar";2;30;6
"84";5;"Cumulative.Developers";378;"haar";2;30;6
