"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Cumulative.Developers";350;"haar";1;0;8
"2";2;"Cumulative.Developers";350;"haar";1;0;8
"3";3;"Cumulative.Developers";350;"haar";1;0;8
"4";4;"Cumulative.Developers";350;"haar";1;0;8
"5";5;"Cumulative.Developers";350;"haar";1;0;8
"6";6;"Cumulative.Developers";350;"haar";1;0;8
"7";7;"Cumulative.Developers";350;"haar";1;0;8
"8";8;"Cumulative.Developers";350;"haar";1;0;8
"9";9;"Cumulative.Developers";350;"haar";1;0;8
"10";10;"Cumulative.Developers";350;"haar";1;0;8
"11";11;"Cumulative.Developers";350;"haar";1;0;8
"12";12;"Cumulative.Developers";350;"haar";1;0;8
"13";13;"Cumulative.Developers";350;"haar";1;0;8
"14";14;"Cumulative.Developers";350;"haar";1;0;8
"15";15;"Cumulative.Developers";350;"haar";1;0;8
"16";16;"Cumulative.Developers";350;"haar";1;0;8
"17";17;"Cumulative.Developers";350;"haar";1;0;8
"18";18;"Cumulative.Developers";350;"haar";1;0;8
"19";19;"Cumulative.Developers";350;"haar";1;0;8
"20";20;"Cumulative.Developers";350;"haar";1;0;8
"21";21;"Cumulative.Developers";350;"haar";1;0;8
"22";22;"Cumulative.Developers";350;"haar";1;0;8
"23";23;"Cumulative.Developers";350;"haar";1;0;8
"24";24;"Cumulative.Developers";350;"haar";1;0;8
"25";25;"Cumulative.Developers";350;"haar";1;0;8
"26";26;"Cumulative.Developers";350;"haar";1;0;8
"27";27;"Cumulative.Developers";350;"haar";1;0;8
"28";28;"Cumulative.Developers";350;"haar";1;0;8
"29";29;"Cumulative.Developers";350;"haar";1;0;8
"30";30;"Cumulative.Developers";350;"haar";1;0;8
"31";31;"Cumulative.Developers";350;"haar";1;0;8
"32";32;"Cumulative.Developers";350;"haar";1;0;8
"33";33;"Cumulative.Developers";350;"haar";1;0;8
"34";34;"Cumulative.Developers";350;"haar";1;0;8
"35";35;"Cumulative.Developers";350;"haar";1;0;8
"36";36;"Cumulative.Developers";350;"haar";1;0;8
"37";37;"Cumulative.Developers";350;"haar";1;0;8
"38";38;"Cumulative.Developers";350;"haar";1;0;8
