"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"LOC";470;"haar";1;1491,99530830362;6
"2";2;"LOC";470;"haar";1;632,153462380773;6
"3";3;"LOC";470;"haar";1;1976,3634534164;6
"4";4;"LOC";470;"haar";1;602,454977570938;6
"5";5;"LOC";470;"haar";1;17,677669529663;6
"6";6;"LOC";470;"haar";1;256,679761570716;6
"7";7;"LOC";470;"haar";1;80,6101730552655;6
"8";8;"LOC";470;"haar";1;0;6
"9";9;"LOC";470;"haar";1;0;6
"10";10;"LOC";470;"haar";1;4,94974746830667;6
"11";11;"LOC";470;"haar";1;0;6
"12";12;"LOC";470;"haar";1;0;6
"13";13;"LOC";470;"haar";1;0;6
"14";14;"LOC";470;"haar";1;0;6
"15";15;"LOC";470;"haar";1;0;6
"16";16;"LOC";470;"haar";1;0;6
"17";17;"LOC";470;"haar";1;0;6
"18";18;"LOC";470;"haar";1;0;6
"19";19;"LOC";470;"haar";1;0;6
"20";20;"LOC";470;"haar";1;286,378246380551;6
"21";21;"LOC";470;"haar";1;2,12132034356;6
"22";22;"LOC";470;"haar";1;0;6
"23";23;"LOC";470;"haar";1;0;6
"24";24;"LOC";470;"haar";1;0;6
"25";25;"LOC";470;"haar";1;0;6
"26";26;"LOC";470;"haar";1;0;6
"27";27;"LOC";470;"haar";1;0;6
"28";28;"LOC";470;"haar";1;0;6
"29";29;"LOC";470;"haar";1;0;6
"30";30;"LOC";470;"haar";1;0;6
"31";31;"LOC";470;"haar";1;0;6
"32";32;"LOC";470;"haar";1;0;6
"33";33;"LOC";470;"haar";1;0;6
"34";34;"LOC";470;"haar";1;0;6
"35";35;"LOC";470;"haar";1;0;6
"36";36;"LOC";470;"haar";1;0;6
"37";37;"LOC";470;"haar";1;0;6
"38";38;"LOC";470;"haar";1;0;6
"39";39;"LOC";470;"haar";1;0;6
"40";40;"LOC";470;"haar";1;-4165,56604796995;6
"41";41;"LOC";470;"haar";1;0;6
"42";42;"LOC";470;"haar";1;0;6
"43";43;"LOC";470;"haar";1;0;6
"44";44;"LOC";470;"haar";1;0;6
"45";45;"LOC";470;"haar";1;0;6
"46";46;"LOC";470;"haar";1;0;6
"47";47;"LOC";470;"haar";1;0;6
"48";48;"LOC";470;"haar";1;0;6
"49";49;"LOC";470;"haar";1;0;6
"50";50;"LOC";470;"haar";1;74,953318805774;6
"51";51;"LOC";470;"haar";1;2,82842712474485;6
"52";52;"LOC";470;"haar";1;3,53553390593333;6
"53";53;"LOC";470;"haar";1;-3,53553390593333;6
"54";54;"LOC";470;"haar";1;82,7314933988255;6
"55";55;"LOC";470;"haar";1;0;6
"56";56;"LOC";470;"haar";1;16,2634559672897;6
"57";57;"LOC";470;"haar";1;2,12132034356;6
"58";1;"LOC";470;"haar";2;3535,5;5
"59";2;"LOC";470;"haar";2;512,499999999998;5
"60";3;"LOC";470;"haar";2;354,5;5
"61";4;"LOC";470;"haar";2;0;5
"62";5;"LOC";470;"haar";2;2,50000000000364;5
"63";6;"LOC";470;"haar";2;15;5
"64";7;"LOC";470;"haar";2;642;5
"65";8;"LOC";470;"haar";2;0;5
"66";9;"LOC";470;"haar";2;0;5
"67";10;"LOC";470;"haar";2;203,999999999996;5
"68";11;"LOC";470;"haar";2;0;5
"69";12;"LOC";470;"haar";2;0;5
"70";13;"LOC";470;"haar";2;0;5
"71";14;"LOC";470;"haar";2;0;5
"72";15;"LOC";470;"haar";2;0;5
"73";16;"LOC";470;"haar";2;0;5
"74";17;"LOC";470;"haar";2;0;5
"75";18;"LOC";470;"haar";2;0;5
"76";19;"LOC";470;"haar";2;0;5
"77";20;"LOC";470;"haar";2;-2941,5;5
"78";21;"LOC";470;"haar";2;0;5
"79";22;"LOC";470;"haar";2;0;5
"80";23;"LOC";470;"haar";2;0;5
"81";24;"LOC";470;"haar";2;0;5
"82";25;"LOC";470;"haar";2;66,9999999999982;5
"83";26;"LOC";470;"haar";2;8,00000000000182;5
"84";27;"LOC";470;"haar";2;95,5;5
"85";28;"LOC";470;"haar";2;17;5
"86";1;"LOC";470;"haar";3;8710,84843743708;4
"87";2;"LOC";470;"haar";3;1022,82995898634;4
"88";3;"LOC";470;"haar";3;12,3743686707712;4
"89";4;"LOC";470;"haar";3;453,96255352176;4
"90";5;"LOC";470;"haar";3;430,628029742606;4
"91";6;"LOC";470;"haar";3;0;4
"92";7;"LOC";470;"haar";3;0;4
"93";8;"LOC";470;"haar";3;0;4
"94";9;"LOC";470;"haar";3;0;4
"95";10;"LOC";470;"haar";3;-6357,24351625765;4
"96";11;"LOC";470;"haar";3;0;4
"97";12;"LOC";470;"haar";3;8,48528137424;4
"98";13;"LOC";470;"haar";3;60,8111831820388;4
"99";14;"LOC";470;"haar";3;95,8129688507797;4
"100";1;"LOC";470;"haar";4;14781,75;3
"101";2;"LOC";470;"haar";4;986,75;3
"102";3;"LOC";470;"haar";4;511,500000000007;3
"103";4;"LOC";470;"haar";4;0;3
"104";5;"LOC";470;"haar";4;-4495,24999999999;3
"105";6;"LOC";470;"haar";4;6;3
"106";7;"LOC";470;"haar";4;362,249999999996;3
"107";1;"LOC";470;"haar";5;1944,01331817712;2
"108";2;"LOC";470;"haar";5;-3178,62175812882;2
"109";3;"LOC";470;"haar";5;574,347483018777;2
